Date,IPCA,IGPM,INPC,IPC-Fipe,CDI
2002-01-01,0.52,0.36,1.07,0.57,1.53
2002-02-01,0.36,0.06,0.31,0.26,1.25
2002-03-01,0.6,0.09,0.62,0.07,1.37
2002-04-01,0.8,0.56,0.68,0.06,1.48
2002-05-01,0.21,0.83,0.09,0.06,1.4
2002-06-01,0.42,1.54,0.61,0.31,1.31
2002-07-01,1.19,1.95,1.15,0.67,1.53
2002-08-01,0.65,2.32,0.86,1.01,1.45
2002-09-01,0.72,2.4,0.83,0.76,1.38
2002-10-01,1.31,3.87,1.57,1.28,1.64
2002-11-01,3.02,5.19,3.39,2.65,1.53
2002-12-01,2.1,3.75,2.7,1.83,1.73
2003-01-01,2.25,2.33,2.47,2.19,1.97
2003-02-01,1.57,2.28,1.46,1.61,1.83
2003-03-01,1.23,1.53,1.37,0.67,1.77
2003-04-01,0.97,0.92,1.38,0.57,1.87
2003-05-01,0.61,-0.26,0.99,0.31,1.96
2003-06-01,-0.15,-1.0,-0.06,-0.16,1.85
2003-07-01,0.2,-0.42,0.04,-0.08,2.08
2003-08-01,0.34,0.38,0.18,0.63,1.76
2003-09-01,0.78,1.18,0.82,0.84,1.67
2003-10-01,0.29,0.38,0.39,0.63,1.63
2003-11-01,0.34,0.49,0.37,0.27,1.34
2003-12-01,0.52,0.61,0.54,0.42,1.37
2004-01-01,0.76,0.88,0.83,0.65,1.26
2004-02-01,0.61,0.69,0.39,0.19,1.08
2004-03-01,0.47,1.13,0.57,0.12,1.37
2004-04-01,0.37,1.21,0.41,0.29,1.17
2004-05-01,0.51,1.31,0.4,0.57,1.22
2004-06-01,0.71,1.38,0.5,0.92,1.22
2004-07-01,0.91,1.31,0.73,0.59,1.28
2004-08-01,0.69,1.22,0.5,0.99,1.29
2004-09-01,0.33,0.69,0.17,0.21,1.24
2004-10-01,0.44,0.39,0.17,0.62,1.21
2004-11-01,0.69,0.82,0.44,0.56,1.25
